# y,u(y) at x=0.5
0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,-1.040957272559822101e-02
3.125000000000000000e-02,-2.007719988492056087e-02
4.687500000000000000e-02,-2.913682589613382154e-02
6.250000000000000000e-02,-3.767810553394712603e-02
7.812500000000000000e-02,-4.577743956593773728e-02
9.375000000000000000e-02,-5.350245762191202514e-02
1.093750000000000000e-01,-6.091220645239875386e-02
1.250000000000000000e-01,-6.805757636598501470e-02
1.406250000000000000e-01,-7.498174122949348430e-02
1.562500000000000000e-01,-8.172040766017094060e-02
1.718750000000000000e-01,-8.830190143127487901e-02
1.875000000000000000e-01,-9.474714958173097168e-02
2.031250000000000000e-01,-1.010694894111826281e-01
2.187500000000000000e-01,-1.072738764571507936e-01
2.343750000000000000e-01,-1.133550490499562052e-01
2.500000000000000000e-01,-1.193047338360833654e-01
2.656250000000000000e-01,-1.251051901515178033e-01
2.812500000000000000e-01,-1.307305080271544129e-01
2.968750000000000000e-01,-1.361476964927310906e-01
3.125000000000000000e-01,-1.413122146192812290e-01
3.281250000000000000e-01,-1.461730889371801179e-01
3.437500000000000000e-01,-1.506726895372639263e-01
3.593750000000000000e-01,-1.547467807571873966e-01
3.750000000000000000e-01,-1.583261597922136221e-01
3.906250000000000000e-01,-1.613370583976451722e-01
4.062500000000000000e-01,-1.637031442808229154e-01
4.218750000000000000e-01,-1.653464737799799911e-01
4.375000000000000000e-01,-1.661897017235052232e-01
4.531250000000000000e-01,-1.661426739270152331e-01
4.687500000000000000e-01,-1.651682572898839074e-01
4.843750000000000000e-01,-1.631645685600200124e-01
5.000000000000000000e-01,-1.600954283615252383e-01
5.156250000000000000e-01,-1.559184866084888099e-01
5.312500000000000000e-01,-1.506004911050513595e-01
5.468750000000000000e-01,-1.441194692334988869e-01
5.625000000000000000e-01,-1.364650248892073925e-01
5.781250000000000000e-01,-1.276376730065467702e-01
5.937500000000000000e-01,-1.176463902217899649e-01
6.093750000000000000e-01,-1.065072602898289866e-01
6.250000000000000000e-01,-9.424016268978874233e-02
6.406250000000000000e-01,-8.086401755782263168e-02
6.562500000000000000e-01,-6.639109195091760784e-02
6.718750000000000000e-01,-5.081997206548962559e-02
6.875000000000000000e-01,-3.413323699094292923e-02
7.031250000000000000e-01,-1.628635400487594628e-02
7.187500000000000000e-01,2.818224804701439847e-03
7.343750000000000000e-01,2.331778501781337290e-02
7.500000000000000000e-01,4.541224902173902206e-02
7.656250000000000000e-01,6.939379842103025886e-02
7.812500000000000000e-01,9.563898677481887101e-02
7.968750000000000000e-01,1.246253392752583039e-01
8.125000000000000000e-01,1.569371287619363009e-01
8.281250000000000000e-01,1.932613320499795562e-01
8.437500000000000000e-01,2.343703423715115808e-01
8.593750000000000000e-01,2.810861880926970313e-01
8.750000000000000000e-01,3.342193091431617247e-01
8.906250000000000000e-01,3.944819010824137107e-01
9.062500000000000000e-01,4.623580291058109748e-01
9.218750000000000000e-01,5.379616179389009600e-01
9.375000000000000000e-01,6.208889844815694836e-01
9.531250000000000000e-01,7.102954432687856867e-01
9.687500000000000000e-01,8.029944661578058973e-01
9.843750000000000000e-01,8.935287854159624787e-01
1.000000000000000000e+00,1.000000000000000000e+00
