# x,phi(x) after t=1.0 with limiter=vanleer
8.250000000000000666e-01,2.117066016447851864e-39
8.300000000000000711e-01,3.818493626242080230e-39
8.349999999999999645e-01,6.812741590922708305e-39
8.399999999999999689e-01,1.202392741077626054e-38
8.449999999999999734e-01,2.099381716642463026e-38
8.499999999999999778e-01,3.626471617898151815e-38
8.549999999999999822e-01,6.198013910673941414e-38
8.599999999999999867e-01,1.048151382116370085e-37
8.649999999999999911e-01,1.753988222582781664e-37
8.699999999999999956e-01,2.904615949877465021e-37
8.750000000000000000e-01,4.760346219105255606e-37
8.800000000000000044e-01,7.721554862781870148e-37
8.850000000000000089e-01,1.239699011700521740e-36
8.900000000000000133e-01,1.970163039135447094e-36
8.950000000000000178e-01,3.099502167082903113e-36
9.000000000000000222e-01,4.827423015511038538e-36
9.050000000000000266e-01,7.443934224086956190e-36
9.100000000000000311e-01,1.136537994096571108e-35
9.150000000000000355e-01,1.718266670583024677e-35
9.200000000000000400e-01,2.572490070878352806e-35
9.250000000000000444e-01,3.814215414126308075e-35
9.300000000000000488e-01,5.601153102945791829e-35
9.350000000000000533e-01,8.147104535252925163e-35
9.400000000000000577e-01,1.173859839461147643e-34
9.450000000000000622e-01,1.675523179920540257e-34
9.500000000000000666e-01,2.369412561307218001e-34
9.550000000000000711e-01,3.319881045555105269e-34
9.599999999999999645e-01,4.609271282754335486e-34
9.649999999999999689e-01,6.341720265760643146e-34
9.699999999999999734e-01,8.647389117539495925e-34
9.749999999999999778e-01,1.168705328481614452e-33
9.799999999999999822e-01,1.565694947809596243e-33
9.849999999999999867e-01,2.079373262431675483e-33
9.899999999999999911e-01,2.737935122915592244e-33
9.949999999999999956e-01,3.574560588215767746e-33
1.000000000000000000e+00,4.627811690205470230e-33
