# x,phi(x) after t=1.0 with limiter=minmod
4.199999999999999845e-01,3.032796039813867583e-02
4.249999999999999889e-01,8.081812190007326563e-03
4.299999999999999933e-01,2.155380177240851479e-03
4.349999999999999978e-01,5.748374186042505725e-04
4.400000000000000022e-01,1.533491068470879790e-04
4.450000000000000067e-01,4.091995630551016177e-05
4.500000000000000111e-01,1.092236874315080536e-05
4.550000000000000155e-01,2.916263953747603067e-06
4.600000000000000200e-01,7.788482950794614563e-07
4.650000000000000244e-01,2.080500988426964810e-07
4.700000000000000289e-01,5.558128129125226579e-08
4.750000000000000333e-01,1.484822920138077152e-08
4.799999999999999822e-01,3.965796491002501929e-09
4.849999999999999867e-01,1.058781215866522638e-09
4.899999999999999911e-01,2.824888535144194373e-10
4.949999999999999956e-01,7.530202875015608275e-11
5.000000000000000000e-01,2.004969537233280523e-11
5.050000000000000044e-01,5.330731620874881764e-12
5.100000000000000089e-01,1.414895273036318521e-12
5.150000000000000133e-01,3.748002484994412779e-13
5.200000000000000178e-01,9.905869390764692225e-14
5.250000000000000222e-01,2.611444080584666848e-14
5.300000000000000266e-01,6.865012144189766003e-15
5.350000000000000311e-01,1.799077031834092317e-15
5.400000000000000355e-01,4.698721022408779251e-16
5.450000000000000400e-01,1.222651855976794709e-16
5.500000000000000444e-01,3.168761871385589757e-17
5.550000000000000488e-01,8.177295560890494140e-18
5.600000000000000533e-01,2.100549456527860202e-18
5.650000000000000577e-01,5.369455927014737072e-19
5.700000000000000622e-01,1.365447862096611996e-19
5.750000000000000666e-01,3.453377586132066017e-20
5.799999999999999600e-01,8.683963673691879378e-21
5.849999999999999645e-01,2.170615127440091820e-21
5.899999999999999689e-01,5.391754107517622752e-22
5.949999999999999734e-01,1.330630047173755953e-22
5.999999999999999778e-01,3.261883398812222067e-23
6.049999999999999822e-01,7.940970976449034948e-24
6.099999999999999867e-01,1.919504847616725399e-24
6.149999999999999911e-01,4.606139348049688112e-25
6.199999999999999956e-01,1.097091711304856445e-25
6.250000000000000000e-01,2.593128655537728741e-26
