# x,phi(x) after t=1.0 with limiter=superbee
4.000000000000000222e-01,9.990107124696064878e-01
4.050000000000000266e-01,9.531289013785706477e-01
4.100000000000000311e-01,3.354142353255591402e-01
4.150000000000000355e-01,2.656314235992455587e-10
4.199999999999999845e-01,2.131276522122181010e-79
4.249999999999999889e-01,1.335140567732105804e-78
4.299999999999999933e-01,8.134355510017224851e-78
4.349999999999999978e-01,4.837770958835272026e-77
4.400000000000000022e-01,2.810261301852393227e-76
4.450000000000000067e-01,1.595205740253192453e-75
4.500000000000000111e-01,8.851884027903139967e-75
4.550000000000000155e-01,4.803710507439940507e-74
4.600000000000000200e-01,2.550388014431439170e-73
4.650000000000000244e-01,1.325207074283788779e-72
4.700000000000000289e-01,6.741598612238026300e-72
4.750000000000000333e-01,3.358856869020235608e-71
4.799999999999999822e-01,1.639501683729816699e-70
4.849999999999999867e-01,7.842618473606606770e-70
4.899999999999999911e-01,3.677657648711530794e-69
4.949999999999999956e-01,1.691102501926917252e-68
5.000000000000000000e-01,7.627460164614808947e-68
5.050000000000000044e-01,3.375359598150074384e-67
5.100000000000000089e-01,1.465901789586233646e-66
5.150000000000000133e-01,6.249499061953160573e-66
5.200000000000000178e-01,2.616062603261971919e-65
5.250000000000000222e-01,1.075516849272269966e-64
5.300000000000000266e-01,4.343628456604185723e-64
5.350000000000000311e-01,1.723659500790249885e-63
5.400000000000000355e-01,6.722140134264228778e-63
5.450000000000000400e-01,2.576985081811983327e-62
5.500000000000000444e-01,9.712984069087845669e-62
5.550000000000000488e-01,3.600106585194597207e-61
5.600000000000000533e-01,1.312450270817905764e-60
5.650000000000000577e-01,4.706906917694491738e-60
5.700000000000000622e-01,1.660931398245369413e-59
5.750000000000000666e-01,5.767756622161490814e-59
5.799999999999999600e-01,1.971400899222938450e-58
5.849999999999999645e-01,6.633264809562385881e-58
5.899999999999999689e-01,2.197524165249979511e-57
5.949999999999999734e-01,7.169049734863863706e-57
5.999999999999999778e-01,2.303440394895118377e-56
6.049999999999999822e-01,7.290274914027277829e-56
6.099999999999999867e-01,2.273132678372278827e-55
6.149999999999999911e-01,6.983617098061380307e-55
6.199999999999999956e-01,2.114316837810738586e-54
6.250000000000000000e-01,6.308869070887640612e-54
6.300000000000000044e-01,1.855586161660691199e-53
6.350000000000000089e-01,5.380391909072567153e-53
6.400000000000000133e-01,1.538167333670713555e-52
6.450000000000000178e-01,4.336133165358686716e-52
6.500000000000000222e-01,1.205486268626608548e-51
6.550000000000000266e-01,3.305465944920488195e-51
6.600000000000000311e-01,8.940522676942332747e-51
6.650000000000000355e-01,2.385618128927482977e-50
6.700000000000000400e-01,6.280492905813077714e-50
6.750000000000000444e-01,1.631501014070813937e-49
6.800000000000000488e-01,4.182412785074218875e-49
6.850000000000000533e-01,1.058172806834530845e-48
6.900000000000000577e-01,2.642529514259377438e-48
6.950000000000000622e-01,6.514172062198923813e-48
7.000000000000000666e-01,1.585318561747531945e-47
7.049999999999999600e-01,3.809192107969964910e-47
7.099999999999999645e-01,9.037505717569290060e-47
7.149999999999999689e-01,2.117402208085151318e-46
7.199999999999999734e-01,4.899324984388109192e-46
7.249999999999999778e-01,1.119658725306916082e-45
7.299999999999999822e-01,2.527490056816538755e-45
7.349999999999999867e-01,5.636180275839403873e-45
7.399999999999999911e-01,1.241677053101178130e-44
7.449999999999999956e-01,2.702694786891816429e-44
7.500000000000000000e-01,5.812803459830927763e-44
7.550000000000000044e-01,1.235406286308649959e-43
7.600000000000000089e-01,2.594802486851089294e-43
7.650000000000000133e-01,5.386460820296426057e-43
7.700000000000000178e-01,1.105201256042894760e-42
7.750000000000000222e-01,2.241565718203631705e-42
7.800000000000000266e-01,4.494351482521589677e-42
7.850000000000000311e-01,8.908834768462622817e-42
7.900000000000000355e-01,1.746005552331787218e-41
7.950000000000000400e-01,3.383556278314740278e-41
8.000000000000000444e-01,6.483898178869264113e-41
8.050000000000000488e-01,1.228755915962854657e-40
8.100000000000000533e-01,2.302995618069943455e-40
8.150000000000000577e-01,4.269232614706496337e-40
8.200000000000000622e-01,7.828286039973659132e-40
8.250000000000000666e-01,1.419954592849842577e-39
8.300000000000000711e-01,2.548025035124867646e-39
8.349999999999999645e-01,4.523606136147641152e-39
8.399999999999999689e-01,7.945989558766701646e-39
8.449999999999999734e-01,1.381094623194151908e-38
