# t [s], T [K], YF
4.299999999999996947e-06,1.100001405724535061e+03,5.999994010724597759e-02
4.399999999999996836e-06,1.100001438416241626e+03,5.999993871437265397e-02
4.499999999999996726e-06,1.100001471107968200e+03,5.999993732149849074e-02
4.599999999999996615e-06,1.100001503799714783e+03,5.999993592862348096e-02
4.699999999999996505e-06,1.100001536491481374e+03,5.999993453574762464e-02
4.799999999999996395e-06,1.100001569183267975e+03,5.999993314287092872e-02
4.899999999999996284e-06,1.100001601875074584e+03,5.999993174999338624e-02
4.999999999999996174e-06,1.100001634566901203e+03,5.999993035711499723e-02
5.099999999999996063e-06,1.100001667258747830e+03,5.999992896423576860e-02
5.199999999999995953e-06,1.100001699950614466e+03,5.999992757135569343e-02
5.299999999999995843e-06,1.100001732642501111e+03,5.999992617847477172e-02
5.399999999999995732e-06,1.100001765334407764e+03,5.999992478559301040e-02
5.499999999999995622e-06,1.100001798026334654e+03,5.999992339271040254e-02
5.599999999999995511e-06,1.100001830718281553e+03,5.999992199982694813e-02
5.699999999999995401e-06,1.100001863410248461e+03,5.999992060694265411e-02
5.799999999999995291e-06,1.100001896102235378e+03,5.999991921405751355e-02
5.899999999999995180e-06,1.100001928794242303e+03,5.999991782117152644e-02
5.999999999999995070e-06,1.100001961486269465e+03,5.999991642828469279e-02
6.099999999999994959e-06,1.100001994178316636e+03,5.999991503539701954e-02
6.199999999999994849e-06,1.100002026870383816e+03,5.999991364250849973e-02
6.299999999999994739e-06,1.100002059562471004e+03,5.999991224961913339e-02
6.399999999999994628e-06,1.100002092254578429e+03,5.999991085672892743e-02
6.499999999999994518e-06,1.100002124946705862e+03,5.999990946383787493e-02
6.599999999999994407e-06,1.100002157638853305e+03,5.999990807094597589e-02
6.699999999999994297e-06,1.100002190331020984e+03,5.999990667805323724e-02
6.799999999999994187e-06,1.100002223023208671e+03,5.999990528515965205e-02
6.899999999999994076e-06,1.100002255715416368e+03,5.999990389226522031e-02
6.999999999999993966e-06,1.100002288407644301e+03,5.999990249936994896e-02
7.099999999999993855e-06,1.100002321099892242e+03,5.999990110647383107e-02
7.199999999999993745e-06,1.100002353792160420e+03,5.999989971357686663e-02
7.299999999999993635e-06,1.100002386484448607e+03,5.999989832067905565e-02
7.399999999999993524e-06,1.100002419176756803e+03,5.999989692778040506e-02
7.499999999999993414e-06,1.100002451869085235e+03,5.999989553488090793e-02
7.599999999999993303e-06,1.100002484561433675e+03,5.999989414198056425e-02
7.699999999999994040e-06,1.100002517253802353e+03,5.999989274907938097e-02
7.799999999999994777e-06,1.100002549946191039e+03,5.999989135617735114e-02
7.899999999999995513e-06,1.100002582638599961e+03,5.999988996327447477e-02
7.999999999999996250e-06,1.100002615331028892e+03,5.999988857037075879e-02
8.099999999999996986e-06,1.100002648023478059e+03,5.999988717746619626e-02
8.199999999999997723e-06,1.100002680715947236e+03,5.999988578456078719e-02
8.299999999999998460e-06,1.100002713408436648e+03,5.999988439165453852e-02
8.399999999999999196e-06,1.100002746100946297e+03,5.999988299874744330e-02
8.499999999999999933e-06,1.100002778793475954e+03,5.999988160583950153e-02
8.600000000000000670e-06,1.100002811486025848e+03,5.999988021293072016e-02
8.700000000000001406e-06,1.100002844178595751e+03,5.999987882002109224e-02
8.800000000000002143e-06,1.100002876871185890e+03,5.999987742711061778e-02
8.900000000000002880e-06,1.100002909563796266e+03,5.999987603419929677e-02
9.000000000000003616e-06,1.100002942256426650e+03,5.999987464128713616e-02
9.100000000000004353e-06,1.100002974949077270e+03,5.999987324837412900e-02
9.200000000000005089e-06,1.100003007641748127e+03,5.999987185546027529e-02
9.300000000000005826e-06,1.100003040334438992e+03,5.999987046254558198e-02
9.400000000000006563e-06,1.100003073027150094e+03,5.999986906963004213e-02
9.500000000000007299e-06,1.100003105719881432e+03,5.999986767671365573e-02
9.600000000000008036e-06,1.100003138412633007e+03,5.999986628379642972e-02
9.700000000000008773e-06,1.100003171105404590e+03,5.999986489087835717e-02
9.800000000000009509e-06,1.100003203798196409e+03,5.999986349795943807e-02
9.900000000000010246e-06,1.100003236491008465e+03,5.999986210503967243e-02
1.000000000000001098e-05,1.100003269183840757e+03,5.999986071211906719e-02
1.010000000000001172e-05,1.100003301876693058e+03,5.999985931919761539e-02
1.020000000000001246e-05,1.100003334569565595e+03,5.999985792627531705e-02
1.030000000000001319e-05,1.100003367262458369e+03,5.999985653335217911e-02
1.040000000000001393e-05,1.100003399955371378e+03,5.999985514042819462e-02
1.050000000000001467e-05,1.100003432648304624e+03,5.999985374750336359e-02
1.060000000000001540e-05,1.100003465341258106e+03,5.999985235457769295e-02
1.070000000000001614e-05,1.100003498034231825e+03,5.999985096165117576e-02
1.080000000000001688e-05,1.100003530727225552e+03,5.999984956872381203e-02
1.090000000000001761e-05,1.100003563420239516e+03,5.999984817579560870e-02
1.100000000000001835e-05,1.100003596113273716e+03,5.999984678286655881e-02
1.110000000000001909e-05,1.100003628806328152e+03,5.999984538993666239e-02
1.120000000000001982e-05,1.100003661499402824e+03,5.999984399700591942e-02
1.130000000000002056e-05,1.100003694192497733e+03,5.999984260407433684e-02
1.140000000000002130e-05,1.100003726885612878e+03,5.999984121114190772e-02
1.150000000000002203e-05,1.100003759578748259e+03,5.999983981820863205e-02
1.160000000000002277e-05,1.100003792271903876e+03,5.999983842527451677e-02
1.170000000000002351e-05,1.100003824965079730e+03,5.999983703233955495e-02
1.180000000000002424e-05,1.100003857658275820e+03,5.999983563940374659e-02
1.190000000000002498e-05,1.100003890351492146e+03,5.999983424646709862e-02
1.200000000000002571e-05,1.100003923044728708e+03,5.999983285352960410e-02
1.210000000000002645e-05,1.100003955737985507e+03,5.999983146059126304e-02
1.220000000000002719e-05,1.100003988431262542e+03,5.999983006765207544e-02
1.230000000000002792e-05,1.100004021124559813e+03,5.999982867471204823e-02
1.240000000000002866e-05,1.100004053817877320e+03,5.999982728177117447e-02
1.250000000000002940e-05,1.100004086511215064e+03,5.999982588882945417e-02
1.260000000000003013e-05,1.100004119204573044e+03,5.999982449588689426e-02
1.270000000000003087e-05,1.100004151897951260e+03,5.999982310294348781e-02
1.280000000000003161e-05,1.100004184591349940e+03,5.999982170999923481e-02
1.290000000000003234e-05,1.100004217284768856e+03,5.999982031705414220e-02
1.300000000000003308e-05,1.100004249978208009e+03,5.999981892410820306e-02
1.310000000000003382e-05,1.100004282671667397e+03,5.999981753116141736e-02
1.320000000000003455e-05,1.100004315365147022e+03,5.999981613821379206e-02
1.330000000000003529e-05,1.100004348058646883e+03,5.999981474526532021e-02
1.340000000000003603e-05,1.100004380752167208e+03,5.999981335231600182e-02
1.350000000000003676e-05,1.100004413445707769e+03,5.999981195936583689e-02
1.360000000000003750e-05,1.100004446139268566e+03,5.999981056641483235e-02
1.370000000000003824e-05,1.100004478832849600e+03,5.999980917346298126e-02
1.380000000000003897e-05,1.100004511526450869e+03,5.999980778051028363e-02
1.390000000000003971e-05,1.100004544220072603e+03,5.999980638755674639e-02
1.400000000000004045e-05,1.100004576913714573e+03,5.999980499460236261e-02
1.410000000000004118e-05,1.100004609607376779e+03,5.999980360164713228e-02
1.420000000000004192e-05,1.100004642301059221e+03,5.999980220869106234e-02
1.430000000000004266e-05,1.100004674994762127e+03,5.999980081573414586e-02
1.440000000000004339e-05,1.100004707688485269e+03,5.999979942277638284e-02
1.450000000000004413e-05,1.100004740382228647e+03,5.999979802981777327e-02
1.460000000000004487e-05,1.100004773075992489e+03,5.999979663685832409e-02
1.470000000000004560e-05,1.100004805769776567e+03,5.999979524389802837e-02
1.480000000000004634e-05,1.100004838463580882e+03,5.999979385093688611e-02
1.490000000000004708e-05,1.100004871157405660e+03,5.999979245797490424e-02
1.500000000000004781e-05,1.100004903851250674e+03,5.999979106501207582e-02
1.510000000000004855e-05,1.100004936545115925e+03,5.999978967204840086e-02
1.520000000000004929e-05,1.100004969239001639e+03,5.999978827908388629e-02
1.530000000000005002e-05,1.100005001932907589e+03,5.999978688611852518e-02
1.540000000000004907e-05,1.100005034626833776e+03,5.999978549315231752e-02
1.550000000000004811e-05,1.100005067320780427e+03,5.999978410018526331e-02
1.560000000000004715e-05,1.100005100014747313e+03,5.999978270721736950e-02
1.570000000000004619e-05,1.100005132708734664e+03,5.999978131424862915e-02
1.580000000000004524e-05,1.100005165402742250e+03,5.999977992127904225e-02
1.590000000000004428e-05,1.100005198096770300e+03,5.999977852830861574e-02
1.600000000000004332e-05,1.100005230790818587e+03,5.999977713533734269e-02
1.610000000000004236e-05,1.100005263484887109e+03,5.999977574236522310e-02
1.620000000000004141e-05,1.100005296178976096e+03,5.999977434939225696e-02
1.630000000000004045e-05,1.100005328873085318e+03,5.999977295641845121e-02
1.640000000000003949e-05,1.100005361567215004e+03,5.999977156344379892e-02
1.650000000000003853e-05,1.100005394261364927e+03,5.999977017046830008e-02
1.660000000000003758e-05,1.100005426955535313e+03,5.999976877749196164e-02
1.670000000000003662e-05,1.100005459649725935e+03,5.999976738451477665e-02
1.680000000000003566e-05,1.100005492343937021e+03,5.999976599153674511e-02
1.690000000000003470e-05,1.100005525038168344e+03,5.999976459855787397e-02
1.700000000000003375e-05,1.100005557732420129e+03,5.999976320557815629e-02
1.710000000000003279e-05,1.100005590426692379e+03,5.999976181259759206e-02
1.720000000000003183e-05,1.100005623120984865e+03,5.999976041961618128e-02
1.730000000000003087e-05,1.100005655815297814e+03,5.999975902663393090e-02
1.740000000000002992e-05,1.100005688509631000e+03,5.999975763365083398e-02
1.750000000000002896e-05,1.100005721203984649e+03,5.999975624066689051e-02
1.760000000000002800e-05,1.100005753898358762e+03,5.999975484768210743e-02
1.770000000000002705e-05,1.100005786592753111e+03,5.999975345469647781e-02
1.780000000000002609e-05,1.100005819287167924e+03,5.999975206171000164e-02
1.790000000000002513e-05,1.100005851981602973e+03,5.999975066872268586e-02
1.800000000000002417e-05,1.100005884676058486e+03,5.999974927573452355e-02
1.810000000000002322e-05,1.100005917370534462e+03,5.999974788274551468e-02
1.820000000000002226e-05,1.100005950065030675e+03,5.999974648975565927e-02
1.830000000000002130e-05,1.100005982759547351e+03,5.999974509676496426e-02
1.840000000000002034e-05,1.100006015454084491e+03,5.999974370377342270e-02
1.850000000000001939e-05,1.100006048148641867e+03,5.999974231078103459e-02
1.860000000000001843e-05,1.100006080843219706e+03,5.999974091778780688e-02
1.870000000000001747e-05,1.100006113537818010e+03,5.999973952479373263e-02
1.880000000000001651e-05,1.100006146232436777e+03,5.999973813179881182e-02
1.890000000000001556e-05,1.100006178927075780e+03,5.999973673880304448e-02
1.900000000000001460e-05,1.100006211621735247e+03,5.999973534580643753e-02
1.910000000000001364e-05,1.100006244316415177e+03,5.999973395280898403e-02
1.920000000000001268e-05,1.100006277011115344e+03,5.999973255981068399e-02
1.930000000000001173e-05,1.100006309705835974e+03,5.999973116681154434e-02
1.940000000000001077e-05,1.100006342400577068e+03,5.999972977381155814e-02
1.950000000000000981e-05,1.100006375095338626e+03,5.999972838081072540e-02
1.960000000000000885e-05,1.100006407790120647e+03,5.999972698780905306e-02
1.970000000000000790e-05,1.100006440484922905e+03,5.999972559480653417e-02
1.980000000000000694e-05,1.100006473179745626e+03,5.999972420180316873e-02
1.990000000000000598e-05,1.100006505874588811e+03,5.999972280879895675e-02
2.000000000000000502e-05,1.100006538569452459e+03,5.999972141579390517e-02
2.010000000000000407e-05,1.100006571264336571e+03,5.999972002278800703e-02
2.020000000000000311e-05,1.100006603959240920e+03,5.999971862978126236e-02
2.030000000000000215e-05,1.100006636654165732e+03,5.999971723677367808e-02
2.040000000000000119e-05,1.100006669349111007e+03,5.999971584376524725e-02
2.050000000000000024e-05,1.100006702044076746e+03,5.999971445075596987e-02
2.059999999999999928e-05,1.100006734739062949e+03,5.999971305774584596e-02
2.069999999999999832e-05,1.100006767434069616e+03,5.999971166473488243e-02
2.079999999999999736e-05,1.100006800129096746e+03,5.999971027172307236e-02
2.089999999999999641e-05,1.100006832824144340e+03,5.999970887871041575e-02
2.099999999999999545e-05,1.100006865519212397e+03,5.999970748569691953e-02
2.109999999999999449e-05,1.100006898214300691e+03,5.999970609268257676e-02
2.119999999999999353e-05,1.100006930909409448e+03,5.999970469966738745e-02
2.129999999999999258e-05,1.100006963604538669e+03,5.999970330665135160e-02
2.139999999999999162e-05,1.100006996299688353e+03,5.999970191363447614e-02
2.149999999999999066e-05,1.100007028994858501e+03,5.999970052061675413e-02
2.159999999999998971e-05,1.100007061690049113e+03,5.999969912759818558e-02
2.169999999999998875e-05,1.100007094385260189e+03,5.999969773457877742e-02
2.179999999999998779e-05,1.100007127080491728e+03,5.999969634155852272e-02
2.189999999999998683e-05,1.100007159775743730e+03,5.999969494853742147e-02
2.199999999999998588e-05,1.100007192471016197e+03,5.999969355551547368e-02
2.209999999999998492e-05,1.100007225166309127e+03,5.999969216249268628e-02
2.219999999999998396e-05,1.100007257861622520e+03,5.999969076946905233e-02
2.229999999999998300e-05,1.100007290556956377e+03,5.999968937644457184e-02
2.239999999999998205e-05,1.100007323252310698e+03,5.999968798341925175e-02
