# t [s], T [K], YF
1.499999999999996887e-04,1.100049059518471950e+03,5.999790980039623051e-02
1.509999999999996859e-04,1.100049386743407467e+03,5.999789585935003805e-02
1.519999999999996831e-04,1.100049713970527137e+03,5.999788191821926742e-02
1.529999999999996803e-04,1.100050041199831639e+03,5.999786797700391167e-02
1.539999999999996775e-04,1.100050368431321658e+03,5.999785403570397080e-02
1.549999999999996747e-04,1.100050695664997875e+03,5.999784009431943788e-02
1.559999999999996719e-04,1.100051022900861199e+03,5.999782615285031984e-02
1.569999999999996691e-04,1.100051350138912312e+03,5.999781221129661668e-02
1.579999999999996663e-04,1.100051677379151897e+03,5.999779826965832147e-02
1.589999999999996635e-04,1.100052004621580863e+03,5.999778432793543420e-02
1.599999999999996607e-04,1.100052331866199665e+03,5.999777038612795488e-02
1.609999999999996579e-04,1.100052659113009213e+03,5.999775644423588350e-02
1.619999999999996551e-04,1.100052986362010188e+03,5.999774250225922007e-02
1.629999999999996523e-04,1.100053313613203500e+03,5.999772856019795764e-02
1.639999999999996495e-04,1.100053640866589603e+03,5.999771461805210315e-02
1.649999999999996467e-04,1.100053968122169408e+03,5.999770067582164967e-02
1.659999999999996439e-04,1.100054295379943596e+03,5.999768673350659720e-02
1.669999999999996411e-04,1.100054622639912623e+03,5.999767279110694573e-02
1.679999999999996383e-04,1.100054949902077624e+03,5.999765884862269527e-02
1.689999999999996355e-04,1.100055277166439055e+03,5.999764490605384581e-02
1.699999999999996327e-04,1.100055604432997598e+03,5.999763096340039736e-02
1.709999999999996299e-04,1.100055931701754162e+03,5.999761702066234298e-02
1.719999999999996271e-04,1.100056258972709202e+03,5.999760307783968266e-02
1.729999999999996243e-04,1.100056586245863627e+03,5.999758913493241641e-02
1.739999999999996215e-04,1.100056913521217894e+03,5.999757519194054423e-02
1.749999999999996188e-04,1.100057240798772909e+03,5.999756124886406611e-02
1.759999999999996160e-04,1.100057568078529357e+03,5.999754730570298206e-02
1.769999999999996132e-04,1.100057895360487919e+03,5.999753336245728513e-02
1.779999999999996104e-04,1.100058222644649277e+03,5.999751941912698228e-02
1.789999999999996076e-04,1.100058549931014113e+03,5.999750547571206655e-02
1.799999999999996048e-04,1.100058877219583110e+03,5.999749153221253795e-02
1.809999999999996020e-04,1.100059204510357176e+03,5.999747758862839647e-02
1.819999999999995992e-04,1.100059531803336768e+03,5.999746364495964213e-02
1.829999999999995964e-04,1.100059859098522566e+03,5.999744970120627491e-02
